sample_id,metabarcoding_id,plant,sample,plant_block,day,treatment,treatment_bag_number,empty_bag_g,prey_mass_g,delta_prey_percent,chitinase_uM_min,cumulative_chit,protease_nM_min,cumulative_prot,flow_cyt_livingevents_uL,flow_cyt_totalevents_uL,pH,dna_con_ug_ml
P29_7,exp4_29_DAY7,P29,29,5,7,beetle,NA,NA,NA,NA,0.002585705,NA,317.6211536,NA,3342,5680,7,14.307
P30_7,exp4_30_DAY7,P30,30,5,7,ant,NA,NA,NA,NA,0.00108261,NA,160.6400693,NA,7121.5,10635,5.5,10.0795
P31_7,exp4_31_DAY7,P31,31,5,7,water,NA,NA,NA,NA,8.74574E-05,NA,13.00386306,NA,887.5,1982.5,5.5,0.3445
P32_7,exp4_32_DAY7,P32,32,5,7,lm,NA,NA,NA,NA,0.000741876,NA,192.2149993,NA,5942.5,7460.5,4.5,19.047
P33_7,exp4_33_DAY7,P33,33,5,7,pos,NA,NA,NA,NA,0.000179249,NA,-5.104169442,NA,1948,2806.5,4.5,0.282
P34_7,exp4_34_DAY7,P34,34,5,7,cb,NA,NA,NA,NA,0.004518837,NA,271.7877981,NA,6187.5,8559.5,5.5,17.1045
P35_7,exp4_35_DAY7,P35,35,5,7,fly,NA,NA,NA,NA,0.002342997,NA,-1.174370587,NA,7035,9612.5,7,37.9345
P01_14,exp4_1_DAY14,P01,1,1,14,ant,NA,NA,NA,NA,0.001471263,NA,143.8210033,NA,1394,1963,4.5,20.057
P02_14,exp4_2_DAY14,P02,2,1,14,pos,NA,NA,NA,NA,0.002479629,NA,158.2634163,NA,1773,2397,4.5,12.557
P03_14,exp4_3_DAY14,P03,3,1,14,beetle,NA,NA,NA,NA,0.001970865,NA,186.7306585,NA,1600,2201,4.5,7.8695
P04_14,exp4_4_DAY14,P04,4,1,14,cb,NA,NA,NA,NA,0.000639355,NA,70.03735681,NA,3625,5015,4.5,2.637
P05_14,exp4_5_DAY14,P05,5,1,14,water,NA,NA,NA,NA,0.000378014,NA,5.905422945,NA,739,5412,4.5,0.4545
P06_14,exp4_6_DAY14,P06,6,1,14,lm,NA,NA,NA,NA,0.004492537,NA,205.7354551,NA,1884,2445,4.5,13.902
P07_14,exp4_7_DAY14,P07,7,1,14,fly,NA,NA,NA,NA,0.001214916,NA,305.0249986,NA,2291,2645,5,10.6445
P08_14,exp4_8_DAY14,P08,8,2,14,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_14,exp4_9_DAY14,P09,9,2,14,ant,NA,NA,NA,NA,0.002942261,NA,394.7970205,NA,1799,2089,4.5,25.762
P10_14,exp4_10_DAY14,P10,10,2,14,cb,NA,NA,NA,NA,0.00025741,NA,374.4274025,NA,1941,2186,4.5,17.662
P11_14,exp4_11_DAY14,P11,11,2,14,lm,NA,NA,NA,NA,0.002973999,NA,241.9509057,NA,14187,17132,4.5,26.427
P12_14,exp4_12_DAY14,P12,12,2,14,pos,NA,NA,NA,NA,0.005477,NA,982.6075278,NA,4125,5707,6,6.622
P13_14,exp4_13_DAY14,P13,13,2,14,beetle,NA,NA,NA,NA,0.000526798,NA,63.39123074,NA,3708,5714,4.5,2.517
P14_14,exp4_14_DAY14,P14,14,2,14,water,NA,NA,NA,NA,8.99819E-05,NA,7.149145082,NA,686,951,4.5,0.427
P15_14,exp4_15_DAY14,P15,15,3,14,lm,NA,NA,NA,NA,0.001033703,NA,404.6637323,NA,1380,2095,4.5,47.8895
P16_14,exp4_16_DAY14,P16,16,3,14,cb,NA,NA,NA,NA,0.009817168,NA,606.9464477,NA,1674,1954,5.5,66.8745
P17_14,exp4_17_DAY14,P17,17,3,14,water,NA,NA,NA,NA,0.004413258,NA,32.66869815,NA,1828,5232,4.5,0.5785
P18_14,exp4_18_DAY14,P18,18,3,14,pos,NA,NA,NA,NA,0.002633432,NA,405.4303933,NA,4008,4424,7,7.1285
P19_14,exp4_19_DAY14,P19,19,3,14,fly,NA,NA,NA,NA,0.003911452,NA,260.9158625,NA,14448,19303,4.5,26.5585
P20_14,exp4_20_DAY14,P20,20,3,14,beetle,NA,NA,NA,NA,0.008183735,NA,305.5039783,NA,1625,2274,4.5,15.221
P21_14,exp4_21_DAY14,P21,21,3,14,ant,NA,NA,NA,NA,0.002644083,NA,421.5780148,NA,1337,1508,4.5,36.546
P22_14,exp4_22_DAY14,P22,22,4,14,beetle,NA,NA,NA,NA,0.002040768,NA,173.3385249,NA,2222,2612,4.5,14.066
P23_14,exp4_23_DAY14,P23,23,4,14,lm,NA,NA,NA,NA,-0.000408371,NA,68.08283957,NA,3349,5553,4.5,4.326
P24_14,exp4_24_DAY14,P24,24,4,14,cb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25_14,exp4_25_DAY14,P25,25,4,14,fly,NA,NA,NA,NA,0.005884256,NA,337.3940523,NA,15706,19536,4.5,16.786
P26_14,exp4_26_DAY14,P26,26,4,14,pos,NA,NA,NA,NA,0.003695368,NA,324.7679025,NA,1908,2018,5.5,14.4535
P27_14,exp4_27_DAY14,P27,27,4,14,water,NA,NA,NA,NA,7.76586E-05,NA,3.672930422,NA,2444,5060,5,0.216
P28_14,exp4_28_DAY14,P28,28,4,14,ant,NA,NA,NA,NA,-0.000162355,NA,36.92026409,NA,2681,3408,4.5,0.721
P29_14,exp4_29_DAY14,P29,29,5,14,beetle,NA,NA,NA,NA,0.005531074,NA,220.835393,NA,2978,3062,5,4.651
P30_14,exp4_30_DAY14,P30,30,5,14,ant,NA,NA,NA,NA,0.001094656,NA,181.6749619,NA,2174,2660,4,6.021
P31_14,exp4_31_DAY14,P31,31,5,14,water,NA,NA,NA,NA,9.19473E-05,NA,8.467129395,NA,1161,1549,4.5,0.211
P32_14,exp4_32_DAY14,P32,32,5,14,lm,NA,NA,NA,NA,0.000251381,NA,45.89368546,NA,1513,2026,5.5,2.3785
P33_14,exp4_33_DAY14,P33,33,5,14,pos,NA,NA,NA,NA,0.007355253,NA,279.7418882,NA,2266,5742,NA,0.116
P34_14,exp4_34_DAY14,P34,34,5,14,cb,NA,NA,NA,NA,0.000918251,NA,144.6412731,NA,1589,1940,5.5,7.1285
P35_14,exp4_35_DAY14,P35,35,5,14,fly,NA,NA,NA,NA,0.003513545,NA,764.7325772,NA,990,1264,4,19.341
P01_21,exp4_1_DAY21,P01,1,1,21,ant,NA,NA,NA,NA,0.002724547,NA,158.1439412,NA,2190.5,3115.5,3.5,NA
P02_21,exp4_2_DAY21,P02,2,1,21,pos,NA,NA,NA,NA,0.025901712,NA,355.5715894,NA,807,1382.5,4,NA
P03_21,exp4_3_DAY21,P03,3,1,21,beetle,NA,NA,NA,NA,0.000309926,NA,131.821552,NA,2493.5,4271.5,4.5,NA
P04_21,exp4_4_DAY21,P04,4,1,21,cb,NA,NA,NA,NA,0.00235966,NA,143.3773949,NA,3078,5166,3.5,NA
P05_21,exp4_5_DAY21,P05,5,1,21,water,NA,NA,NA,NA,0.000195515,NA,7.886497232,NA,370,3192.5,5,NA
P06_21,exp4_6_DAY21,P06,6,1,21,lm,NA,NA,NA,NA,0.008261539,NA,166.2645405,NA,1929,3558,3.5,NA
P07_21,exp4_7_DAY21,P07,7,1,21,fly,NA,NA,NA,NA,0.000666439,NA,278.7432187,NA,1320.5,2926.5,5.5,NA
P08_21,exp4_8_DAY21,P08,8,2,21,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_21,exp4_9_DAY21,P09,9,2,21,ant,NA,NA,NA,NA,0.000823131,NA,298.7656485,NA,2689,2984.5,NA,NA
P10_21,exp4_10_DAY21,P10,10,2,21,cb,NA,NA,NA,NA,0.000144061,NA,62.41944724,NA,4968,6415,4,NA
P11_21,exp4_11_DAY21,P11,11,2,21,lm,NA,NA,NA,NA,0.000937647,NA,241.9669039,NA,1389.5,4767.5,5,NA
P12_21,exp4_12_DAY21,P12,12,2,21,pos,NA,NA,NA,NA,0.005383422,NA,145.3925928,NA,664,1533.5,5,NA
P13_21,exp4_13_DAY21,P13,13,2,21,beetle,NA,NA,NA,NA,0.001335936,NA,65.79946419,NA,2829,6001.5,3.5,NA
P14_21,exp4_14_DAY21,P14,14,2,21,water,NA,NA,NA,NA,9.44652E-05,NA,54.82581992,NA,385,935.5,5,NA
P15_21,exp4_15_DAY21,P15,15,3,21,lm,NA,NA,NA,NA,0.000636554,NA,299.4855325,NA,949,1331,3.5,NA
P16_21,exp4_16_DAY21,P16,16,3,21,cb,NA,NA,NA,NA,0.002745093,NA,382.9260201,NA,1147,1639,3.5,NA
P17_21,exp4_17_DAY21,P17,17,3,21,water,NA,NA,NA,NA,8.59933E-05,NA,43.64582576,NA,620.5,3802,4,NA
P18_21,exp4_18_DAY21,P18,18,3,21,pos,NA,NA,NA,NA,0.002168145,NA,306.2088437,NA,4179.5,7043,4,NA
P19_21,exp4_19_DAY21,P19,19,3,21,fly,NA,NA,NA,NA,0.003740178,NA,218.1083086,NA,2513.5,3453.5,4,NA
P20_21,exp4_20_DAY21,P20,20,3,21,beetle,NA,NA,NA,NA,0.000628897,NA,165.6545469,NA,1193.5,2488.5,5,NA
P21_21,exp4_21_DAY21,P21,21,3,21,ant,NA,NA,NA,NA,0.001589163,NA,289.2577361,NA,11194.5,13202,4,NA
P22_21,exp4_22_DAY21,P22,22,4,21,beetle,NA,NA,NA,NA,0.004065813,NA,206.6070581,NA,1944.5,2459.5,4,NA
P23_21,exp4_23_DAY21,P23,23,4,21,lm,NA,NA,NA,NA,0.000353931,NA,111.2926419,NA,2933.5,6681.5,3.5,NA
P24_21,exp4_24_DAY21,P24,24,4,21,cb,NA,NA,NA,NA,0.000354727,NA,126.624422,NA,2124.5,5477,5,NA
P25_21,exp4_25_DAY21,P25,25,4,21,fly,NA,NA,NA,NA,0.003393118,NA,264.9053289,NA,4473.5,6928.5,3,NA
P26_21,exp4_26_DAY21,P26,26,4,21,pos,NA,NA,NA,NA,0.00502406,NA,521.5007374,NA,774.5,1191.5,7,NA
P27_21,exp4_27_DAY21,P27,27,4,21,water,NA,NA,NA,NA,0.000110617,NA,19.35238584,NA,1130.5,5376.5,5,NA
P28_21,exp4_28_DAY21,P28,28,4,21,ant,NA,NA,NA,NA,0.001249333,NA,74.65526651,NA,2936,4942,3,NA
P29_21,exp4_29_DAY21,P29,29,5,21,beetle,NA,NA,NA,NA,0.001082653,NA,141.5117671,NA,2147.5,2980.5,4,NA
P30_21,exp4_30_DAY21,P30,30,5,21,ant,NA,NA,NA,NA,0.002302988,NA,238.5591419,NA,1156.5,1664,3,NA
P31_21,exp4_31_DAY21,P31,31,5,21,water,NA,NA,NA,NA,8.02758E-05,NA,13.76390284,NA,1114.5,2316,4.5,NA
P32_21,exp4_32_DAY21,P32,32,5,21,lm,NA,NA,NA,NA,0.002081092,NA,114.6149955,NA,1371,3567.5,4,NA
P33_21,exp4_33_DAY21,P33,33,5,21,pos,NA,NA,NA,NA,0.00167662,NA,437.0639477,NA,2183,3012.5,7.5,NA
P34_21,exp4_34_DAY21,P34,34,5,21,cb,NA,NA,NA,NA,0.000282486,NA,217.1084796,NA,1182.5,1527,4,NA
P35_21,exp4_35_DAY21,P35,35,5,21,fly,NA,NA,NA,NA,0.005882513,NA,446.3947802,NA,869,1324,5,NA
P01_28,exp4_1_DAY28,P01,1,1,28,ant,NA,NA,NA,NA,0.001907977,NA,129.8672404,NA,1934.5,2700.5,4,NA
P02_28,exp4_2_DAY28,P02,2,1,28,pos,NA,NA,NA,NA,0.126473423,NA,513.2558512,NA,326,1172,5,NA
P03_28,exp4_3_DAY28,P03,3,1,28,beetle,NA,NA,NA,NA,0.000150665,NA,55.60831231,NA,4663.5,6589,4.5,NA
P04_28,exp4_4_DAY28,P04,4,1,28,cb,NA,NA,NA,NA,0.005876376,NA,137.8440231,NA,2945.5,3647.5,3.5,NA
P05_28,exp4_5_DAY28,P05,5,1,28,water,NA,NA,NA,NA,0.000148836,NA,4.923428946,NA,420.5,1914.5,4,NA
P06_28,exp4_6_DAY28,P06,6,1,28,lm,NA,NA,NA,NA,0.004960762,NA,142.5717488,NA,1934,2901,3,NA
P07_28,exp4_7_DAY28,P07,7,1,28,fly,NA,NA,NA,NA,0.002566738,NA,215.1310025,NA,1187,3440,5,NA
P08_28,exp4_8_DAY28,P08,8,2,28,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_28,exp4_9_DAY28,P09,9,2,28,ant,NA,NA,NA,NA,0.000473017,NA,64.41468634,NA,5127.5,6099.5,3.5,NA
P10_28,exp4_10_DAY28,P10,10,2,28,cb,NA,NA,NA,NA,0.000631574,NA,33.0366026,NA,3101,4195.5,4,NA
P11_28,exp4_11_DAY28,P11,11,2,28,lm,NA,NA,NA,NA,0.000740795,NA,147.7259061,NA,1442.5,2931.5,4.5,NA
P12_28,exp4_12_DAY28,P12,12,2,28,pos,NA,NA,NA,NA,0.019149106,NA,214.4238624,NA,3111.5,3684.5,5.5,NA
P13_28,exp4_13_DAY28,P13,13,2,28,beetle,NA,NA,NA,NA,0.001485725,NA,120.5615341,NA,3928.5,7433,4.5,NA
P14_28,exp4_14_DAY28,P14,14,2,28,water,NA,NA,NA,NA,0.000151918,NA,11.05102654,NA,371.5,934,4.5,NA
P15_28,exp4_15_DAY28,P15,15,3,28,lm,NA,NA,NA,NA,0.000875499,NA,87.91844656,NA,3399.5,5115,3.5,NA
P16_28,exp4_16_DAY28,P16,16,3,28,cb,NA,NA,NA,NA,0.000272339,NA,165.7710209,NA,2017,2816,4,NA
P17_28,exp4_17_DAY28,P17,17,3,28,water,NA,NA,NA,NA,0.000202482,NA,12.94273375,NA,1074,4425,4.5,NA
P18_28,exp4_18_DAY28,P18,18,3,28,pos,NA,NA,NA,NA,0.004268601,NA,592.6275468,NA,796,1122,4.5,NA
P19_28,exp4_19_DAY28,P19,19,3,28,fly,NA,NA,NA,NA,0.001796727,NA,122.029621,NA,2362.5,3112,4.5,NA
P20_28,exp4_20_DAY28,P20,20,3,28,beetle,NA,NA,NA,NA,0.001124736,NA,48.50840681,NA,2128,3907.5,4.5,NA
P21_28,exp4_21_DAY28,P21,21,3,28,ant,NA,NA,NA,NA,0.000565701,NA,180.1493546,NA,2670.5,3286.5,3.5,NA
P22_28,exp4_22_DAY28,P22,22,4,28,beetle,NA,NA,NA,NA,0.002889992,NA,122.7134501,NA,2549.5,3168,4,NA
P23_28,exp4_23_DAY28,P23,23,4,28,lm,NA,NA,NA,NA,0.001854357,NA,104.4111721,NA,4171.5,5021.5,3,NA
P24_28,exp4_24_DAY28,P24,24,4,28,cb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25_28,exp4_25_DAY28,P25,25,4,28,fly,NA,NA,NA,NA,0.004570206,NA,245.5719987,NA,1930.5,2534,4.5,NA
P26_28,exp4_26_DAY28,P26,26,4,28,pos,NA,NA,NA,NA,0.006424613,NA,782.5474616,NA,961,1183,8,NA
P27_28,exp4_27_DAY28,P27,27,4,28,water,NA,NA,NA,NA,0.000152744,NA,20.84923195,NA,1740.5,5667.5,4.5,NA
P28_28,exp4_28_DAY28,P28,28,4,28,ant,NA,NA,NA,NA,0.001123183,NA,91.84750607,NA,2506.5,3933,4,NA
P29_28,exp4_29_DAY28,P29,29,5,28,beetle,NA,NA,NA,NA,0.000340919,NA,35.65840954,NA,1830.5,3941,4,NA
P30_28,exp4_30_DAY28,P30,30,5,28,ant,NA,NA,NA,NA,0.000566953,NA,61.32607321,NA,2682.5,4512.5,4,NA
P31_28,exp4_31_DAY28,P31,31,5,28,water,NA,NA,NA,NA,0.000195516,NA,6.710490352,NA,569.5,1583,4.5,NA
P32_28,exp4_32_DAY28,P32,32,5,28,lm,NA,NA,NA,NA,0.000352019,NA,26.84977079,NA,279,532.5,4,NA
P33_28,exp4_33_DAY28,P33,33,5,28,pos,NA,NA,NA,NA,0.003625651,NA,722.449688,NA,923,1080,6.5,NA
P34_28,exp4_34_DAY28,P34,34,5,28,cb,NA,NA,NA,NA,0.000599176,NA,26.18226332,NA,5822,7323,4,NA
P35_28,exp4_35_DAY28,P35,35,5,28,fly,NA,NA,NA,NA,0.001274975,NA,94.93182404,NA,1122.5,2890.5,4.5,NA
P01_35,exp4_1_DAY35,P01,1,1,35,ant,NA,NA,NA,NA,0.001763401,NA,153.1264133,NA,1576.5,2259.5,3.5,4.4085
P02_35,exp4_2_DAY35,P02,2,1,35,pos,NA,NA,NA,NA,0.001747281,NA,613.8964263,NA,958.5,1309.5,5,26.8035
P03_35,exp4_3_DAY35,P03,3,1,35,beetle,NA,NA,NA,NA,0.002258326,NA,137.2255337,NA,2678,3876.5,4.5,3.4235
P04_35,exp4_4_DAY35,P04,4,1,35,cb,NA,NA,NA,NA,0.002372358,NA,104.7699858,NA,3556,6167,4,2.166
P05_35,exp4_5_DAY35,P05,5,1,35,water,NA,NA,NA,NA,0.000321662,NA,7.373798032,NA,656,1491.5,4,0.186
P06_35,exp4_6_DAY35,P06,6,1,35,lm,NA,NA,NA,NA,0.002241522,NA,140.3759678,NA,2697,3657,3.5,8.306
P07_35,exp4_7_DAY35,P07,7,1,35,fly,NA,NA,NA,NA,0.002132993,NA,304.5330768,NA,1348,3522,5,12
P08_35,exp4_8_DAY35,P08,8,2,35,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_35,exp4_9_DAY35,P09,9,2,35,ant,NA,NA,NA,NA,0.000471151,NA,76.81107577,NA,4274,6201.5,4,7.22
P10_35,exp4_10_DAY35,P10,10,2,35,cb,NA,NA,NA,NA,0.001027088,NA,88.5216694,NA,3306.5,4521.5,4,6.87
P11_35,exp4_11_DAY35,P11,11,2,35,lm,NA,NA,NA,NA,0.000922841,NA,196.9697318,NA,1526.5,2277.5,4.5,22.5
P12_35,exp4_12_DAY35,P12,12,2,35,pos,NA,NA,NA,NA,0.004578753,NA,457.9128331,NA,1721,2529.5,5.5,50
P13_35,exp4_13_DAY35,P13,13,2,35,beetle,NA,NA,NA,NA,0.00158814,NA,92.66952346,NA,2300.5,4316,4,7.85
P14_35,exp4_14_DAY35,P14,14,2,35,water,NA,NA,NA,NA,0.000454271,NA,9.6347946,NA,288,2016.5,4,0.886
P15_35,exp4_15_DAY35,P15,15,3,35,lm,NA,NA,NA,NA,0.001283258,NA,90.28934954,NA,1371.5,3954.5,4,10.8
P16_35,exp4_16_DAY35,P16,16,3,35,cb,NA,NA,NA,NA,0.000597816,NA,181.8056142,NA,1105.5,2240,4,25
P17_35,exp4_17_DAY35,P17,17,3,35,water,NA,NA,NA,NA,0.000335191,NA,11.53204382,NA,791,6884.5,4,0.736
