sample_id,metabarcoding_id,plant,sample,plant_block,day,treatment
P10_35,exp4_10_DAY35,P10,10,2,35,cb
P11_35,exp4_11_DAY35,P11,11,2,35,lm
P12_35,exp4_12_DAY35,P12,12,2,35,pos
P13_35,exp4_13_DAY35,P13,13,2,35,beetle
P14_35,exp4_14_DAY35,P14,14,2,35,water
P15_35,exp4_15_DAY35,P15,15,3,35,lm
P16_35,exp4_16_DAY35,P16,16,3,35,cb
P17_35,exp4_17_DAY35,P17,17,3,35,water
P18_35,exp4_18_DAY35,P18,18,3,35,pos
P19_35,exp4_19_DAY35,P19,19,3,35,fly
P20_35,exp4_20_DAY35,P20,20,3,35,beetle
P21_35,exp4_21_DAY35,P21,21,3,35,ant
P22_35,exp4_22_DAY35,P22,22,4,35,beetle
P23_35,exp4_23_DAY35,P23,23,4,35,lm
P24_35,exp4_24_DAY35,P24,24,4,35,cb
P25_35,exp4_25_DAY35,P25,25,4,35,fly
P26_35,exp4_26_DAY35,P26,26,4,35,pos
P27_35,exp4_27_DAY35,P27,27,4,35,water
P28_35,exp4_28_DAY35,P28,28,4,35,ant
P29_35,exp4_29_DAY35,P29,29,5,35,beetle
P30_35,exp4_30_DAY35,P30,30,5,35,ant
P31_35,exp4_31_DAY35,P31,31,5,35,water
P32_35,exp4_32_DAY35,P32,32,5,35,lm
P33_35,exp4_33_DAY35,P33,33,5,35,pos
P34_35,exp4_34_DAY35,P34,34,5,35,cb
P35_35,exp4_35_DAY35,P35,35,5,35,fly
P01_42,exp4_1_DAY42,P01,1,1,42,ant
P02_42,exp4_2_DAY42,P02,2,1,42,pos
P03_42,exp4_3_DAY42,P03,3,1,42,beetle
P04_42,exp4_4_DAY42,P04,4,1,42,cb
P05_42,exp4_5_DAY42,P05,5,1,42,water
P06_42,exp4_6_DAY42,P06,6,1,42,lm
P07_42,exp4_7_DAY42,P07,7,1,42,fly
P08_42,exp4_8_DAY42,P08,8,2,42,fly
P09_42,exp4_9_DAY42,P09,9,2,42,ant
P10_42,exp4_10_DAY42,P10,10,2,42,cb
P11_42,exp4_11_DAY42,P11,11,2,42,lm
P12_42,exp4_12_DAY42,P12,12,2,42,pos
P13_42,exp4_13_DAY42,P13,13,2,42,beetle
P14_42,exp4_14_DAY42,P14,14,2,42,water
P15_42,exp4_15_DAY42,P15,15,3,42,lm
P16_42,exp4_16_DAY42,P16,16,3,42,cb
P17_42,exp4_17_DAY42,P17,17,3,42,water
P18_42,exp4_18_DAY42,P18,18,3,42,pos
P19_42,exp4_19_DAY42,P19,19,3,42,fly
P20_42,exp4_20_DAY42,P20,20,3,42,beetle
P21_42,exp4_21_DAY42,P21,21,3,42,ant
P22_42,exp4_22_DAY42,P22,22,4,42,beetle
P23_42,exp4_23_DAY42,P23,23,4,42,lm
P24_42,exp4_24_DAY42,P24,24,4,42,cb
P25_42,exp4_25_DAY42,P25,25,4,42,fly
P26_42,exp4_26_DAY42,P26,26,4,42,pos
P27_42,exp4_27_DAY42,P27,27,4,42,water
P28_42,exp4_28_DAY42,P28,28,4,42,ant
P29_42,exp4_29_DAY42,P29,29,5,42,beetle
P30_42,exp4_30_DAY42,P30,30,5,42,ant
P31_42,exp4_31_DAY42,P31,31,5,42,water
P32_42,exp4_32_DAY42,P32,32,5,42,lm
P33_42,exp4_33_DAY42,P33,33,5,42,pos
P34_42,exp4_34_DAY42,P34,34,5,42,cb
P35_42,exp4_35_DAY42,P35,35,5,42,fly
P01_49,exp4_1_DAY49,P01,1,1,49,ant
P02_49,exp4_2_DAY49,P02,2,1,49,pos
P03_49,exp4_3_DAY49,P03,3,1,49,beetle
P04_49,exp4_4_DAY49,P04,4,1,49,cb
P05_49,exp4_5_DAY49,P05,5,1,49,water
P06_49,exp4_6_DAY49,P06,6,1,49,lm
P07_49,exp4_7_DAY49,P07,7,1,49,fly
P08_49,exp4_8_DAY49,P08,8,2,49,fly
P09_49,exp4_9_DAY49,P09,9,2,49,ant
P10_49,exp4_10_DAY49,P10,10,2,49,cb
P11_49,exp4_11_DAY49,P11,11,2,49,lm
P12_49,exp4_12_DAY49,P12,12,2,49,pos
P13_49,exp4_13_DAY49,P13,13,2,49,beetle
P14_49,exp4_14_DAY49,P14,14,2,49,water
P15_49,exp4_15_DAY49,P15,15,3,49,lm
P16_49,exp4_16_DAY49,P16,16,3,49,cb
P17_49,exp4_17_DAY49,P17,17,3,49,water
P18_49,exp4_18_DAY49,P18,18,3,49,pos
P19_49,exp4_19_DAY49,P19,19,3,49,fly
P20_49,exp4_20_DAY49,P20,20,3,49,beetle
P21_49,exp4_21_DAY49,P21,21,3,49,ant
P22_49,exp4_22_DAY49,P22,22,4,49,beetle
P23_49,exp4_23_DAY49,P23,23,4,49,lm
P24_49,exp4_24_DAY49,P24,24,4,49,cb
P25_49,exp4_25_DAY49,P25,25,4,49,fly
P26_49,exp4_26_DAY49,P26,26,4,49,pos
P27_49,exp4_27_DAY49,P27,27,4,49,water
P28_49,exp4_28_DAY49,P28,28,4,49,ant
P29_49,exp4_29_DAY49,P29,29,5,49,beetle
P30_49,exp4_30_DAY49,P30,30,5,49,ant
P31_49,exp4_31_DAY49,P31,31,5,49,water
P32_49,exp4_32_DAY49,P32,32,5,49,lm
P33_49,exp4_33_DAY49,P33,33,5,49,pos
P34_49,exp4_34_DAY49,P34,34,5,49,cb
P35_49,exp4_35_DAY49,P35,35,5,49,fly
NEG1,neg1,NEG,NEG,NEG,NEG,NEG
NEG2,neg2,NEG,NEG,NEG,NEG,NEG
